189,ROW,CBT,LED,BAB,SRN,757,->,,,,,,,
190,AEB,POM,JAB,IOR,K83,757,->,,,,,,,
191,OLC,PAM,TVU,PUM,GYE,757,->,,,,,,,
192,BHS,KTT,CDR,IJD,PAF,757,->,,,,,,,
193,YMX,KWG,STJ,NLF,SDZ,757,->,,,,,,,
194,PMV,FUG,AGX,MFM,MJK,767,->,,,,,,,
195,CLS,RGN,ATD,YKN,TCH,767,->,,,,,,,
196,HIS,SGS,PAQ,LKG,EFD,767,->,,,,,,,
197,AXR,EUM,VPN,JSM,BTS,767,->,,,,,,,
198,MYU,TSS,BRX,HRT,AMH,767,->,,,,,,,
199,CDW,ATW,MZP,CYX,FLA,767,->,,,,,,,
200,DED,BAZ,LCK,LHV,X01,767,->,,,,,,,
201,FRL,CAP,JZH,DLU,BMQ,767,->,,,,,,,
202,ATC,MHG,SFK,WCH,CGD,767,->,,,,,,,
203,ORV,KBW,BHK,ZCL,MYB,767,->,,,,,,,
204,TAN,LAE,COF,TAC,KLV,767,->,,,,,,,
205,GBB,SEM,AUY,VAI,KLC,767,->,,,,,,,
206,BFO,SCL,GVX,GOZ,QPZ,767,->,,,,,,,
207,POT,KEV,TBB,HUW,CAT,777,->,,,,,,,
208,YYY,STA,XYJ,JAC,DWD,A319,->,,,,,,,
209,BXU,NQX,JWA,BHK,ZMA,A319,->,,,,,,,
210,SHH,UAH,TJH,AGE,JEJ,A319,->,,,,,,,
211,OBU,LYR,MGS,SBP,YMJ,A319,->,,,,,,,
212,WVN,LHA,RPR,CMR,GAN,A319,->,,,,,,,
213,YDB,MJN,TKC,VCE,UMR,A319,->,,,,,,,
214,VNE,HAN,CAY,GYA,DMM,A319,->,,,,,,,
215,AGI,BYH,GKN,SLF,FRW,A319,->,,,,,,,
216,AFW,MEE,SWF,LLW,EWD,A319,->,,,,,,,
217,MRA,EBO,VCL,EVG,TAO,A319,->,,,,,,,
218,BOJ,YCR,KNF,YCG,ZSY,A319,->,,,,,,,
219,KKX,QHR,IXW,RIU,PSH,A319,->,,,,,,,
220,KKE,BXE,UKS,TNE,WLF,A319,->,,,,,,,
221,ADK,MQS,ACX,GMR,CBV,A319,->,,,,,,,
222,CSX,QXG,LVK,GOY,CJL,A319,->,,,,,,,
223,ZKE,SDY,HGR,BUN,HDB,A319,->,,,,,,,
224,QRO,NVP,TOH,CFD,KIA,A319,->,,,,,,,
225,ELY,ARV,DWS,ODH,ANQ,A319,->,,,,,,,
226,HRB,OWD,YBE,SSA,TWU,A319,->,,,,,,,
227,ABA,HTF,BOB,ELU,MGW,A319,->,,,,,,,
228,BNJ,BMM,YAX,PTG,JVA,A319,->,,,,,,,
229,SGO,RYO,ESB,OUD,0S9,A319,->,,,,,,,
230,PEG,FKQ,TPC,USM,JPA,A320,->,,,,,,,
231,SLQ,PBH,PNZ,WKA,YGB,A320,->,,,,,,,
232,MNY,SST,BRU,THF,CMI,A320,->,,,,,,,
233,EBL,AZD,GLQ,AQB,EJT,A320,->,,,,,,,
234,OVB,TIH,LHX,BCE,GMA,A320,->,,,,,,,
235,LTK,MOV,JKH,BMQ,PHD,A320,->,,,,,,,
236,ALX,LCA,PNY,AUX,MEC,A320,->,,,,,,,
237,KWL,VHM,ASO,HUS,NRA,A320,->,,,,,,,
238,SCZ,BYU,EWB,AGE,BRT,A320,->,,,,,,,
239,KRB,PZO,FOD,UTC,YLH,A320,->,,,,,,,
240,DGA,CER,SFF,VHY,PSJ,A320,->,,,,,,,
241,BTT,LPS,RIW,BRD,KAB,A320,->,,,,,,,
242,POR,TKT,TXN,REP,CTJ,A321,->,,,,,,,
243,MTT,MZK,DXR,HVB,YYR,A321,->,,,,,,,
244,SNR,EAR,HZK,CGD,HRN,A321,->,,,,,,,
245,WWT,BXU,EIS,SCY,KDI,A321,->,,,,,,,
246,YPA,TEF,MLH,OZZ,JUB,A321,->,,,,,,,
247,TEU,UTK,OAJ,PMB,URS,A321,->,,,,,,,
248,VRN,MDK,WEI,CEQ,JIK,A330,->,,,,,,,
249,INK,AMI,AKV,YBW,AUO,A330,->,,,,,,,
250,DGA,ALH,RYY,VSG,TIZ,A330,->,,,,,,,
251,ZAM,DRB,JHS,BAQ,EIN,A330,->,,,,,,,
252,DAB,XSP,WNP,ARE,MBH,A330,->,,,,,,,
253,JBR,CPR,ZWA,UES,TLU,A330,->,,,,,,,
254,TAP,O03,TAG,POF,RDM,A330,->,,,,,,,
255,MLE,AAO,NYU,BMO,UAQ,A400M,->,,,,,,,
256,YLT,YDA,LAC,LVR,YEE,A400M,->,,,,,,,
257,KRZ,SJT,JSA,GES,STS,A400M,->,,,,,,,
258,ZSE,ORT,SKS,CUC,BLL,A400M,->,,,,,,,
259,DIL,SWX,TCY,QPA,PNH,A400M,->,,,,,,,
260,OYG,JEE,MYQ,YTG,TOH,A400M,->,,,,,,,
261,LWC,TKP,CTH,MAJ,TMW,A400M,->,,,,,,,
262,BFH,BQS,CDB,KVB,MYD,A400M,->,,,,,,,
263,VDC,MED,EGC,NOA,PIA,A400M,->,,,,,,,
264,TGG,AOT,EGR,NOR,RNA,A400M,->,,,,,,,
265,PPQ,PMQ,BES,UKY,UEL,A400M,->,,,,,,,
266,KAW,HDD,EVE,CUM,MME,A400M,->,,,,,,,
267,YZG,DNA,SNP,OMF,CDI,A400M,->,,,,,,,
268,YLL,YFB,CIF,YGH,ZAC,A400M,->,,,,,,,
269,TEK,AVV,YZV,BDA,KLO,A400M,->,,,,,,,
270,TSB,ANR,RBA,NGB,GLT,A400M,->,,,,,,,
271,MMU,RZR,NOV,DTI,ONH,A400M,->,,,,,,,
272,MTT,GOA,PIN,SDF,ARM,A400M,->,,,,,,,
273,CVI,RIY,TMR,SPC,ATK,A400M,->,,,,,,,
274,KRK,MUC,ILI,KRO,SRH,A400M,->,,,,,,,
275,SNW,UBA,EYW,SAQ,FTK,A400M,->,,,,,,,
276,KTS,XFW,TTR,WVK,DNZ,A400M,->,,,,,,,
277,DAC,LDY,OWB,EAT,TUP,A400M,->,,,,,,,
278,NYI,KBV,BJX,TAP,YLH,A400M,->,,,,,,,
279,GJT,TMN,ENV,YTO,HOV,A400M,->,,,,,,,
280,JDF,KPB,GWY,NUR,OUE,A400M,->,,,,,,,
281,YBV,WNH,AHU,SCV,GOA,A400M,->,,,,,,,
282,AKJ,MHV,BDQ,PGA,FRC,A400M,->,,,,,,,
283,LTK,TNF,YBY,LRL,AZI,A400M,->,,,,,,,
284,VAA,PSA,YQK,SBO,YEM,A400M,->,,,,,,,
285,CCU,BFF,DGE,UVA,GET,A400M,->,,,,,,,
286,X01,SEN,ASU,ZGG,YVV,A400M,->,,,,,,,
287,HTA,PAO,VNO,BIV,SRZ,A400M,->,,,,,,,
288,YKZ,TIJ,CUM,SYU,AEH,A400M,->,,,,,,,
289,MDS,KGI,NNL,NST,NOA,A400M,->,,,,,,,
290,MDK,VVZ,FOM,MCL,CFB,BA10,->,,,,,,,
291,MOD,PBH,PYE,OMN,FRI,BA10,->,,,,,,,
292,TNA,CZE,PAV,F57,YMA,BA10,->,,,,,,,
293,DLY,LUH,BBT,MLW,TOW,BA10,->,,,,,,,
294,TSS,FLO,AKP,KLG,ASJ,BA10,->,,,,,,,
295,SCZ,BHE,TLG,CTH,ORY,BA10,->,,,,,,,
296,JTC,JEF,ELT,TOW,OBY,BA10,->,,,,,,,
297,YHI,PML,PHF,CTH,NBO,BA10,->,,,,,,,
298,GPS,ONG,BPC,LAC,FME,BA10,->,,,,,,,
299,BRA,MNB,LEJ,RDG,NTD,BA10,->,,,,,,,
300,ENF,PWT,UES,RRK,GOY,BA10,->,,,,,,,
301,SUI,ELF,KWT,EME,JAF,BA10,->,,,,,,,
302,LPQ,BIY,YVP,EDW,OUI,BA10,->,,,,,,,
303,DUJ,FAT,NTG,REA,AYP,BA10,->,,,,,,,
304,YXS,GVR,LVO,QLT,KTI,BA10,->,,,,,,,
